mean,std,no_lost_events,no_thread,sample_size
1366.6,719.51,0,1,1048576
2399.4,936.26,0,2,1048576
2450.5,941.01,0,4,1048576
2496.8,1528.5,0,8,1048576
2598.3,1015.6,0,16,1048576
3593.9,5239.8,0,32,1048576
5006.9,44523,0,64,1048576
