mean,std,no_lost_events,no_thread,sample_size
2111.7,611.52,0,1,1048576
2921.2,772.03,0,2,1048576
3271,969.16,0,4,1048576
3482.2,778.38,-4470,8,1048576
3340.6,919.15,290108,16,1048576
2804.9,21753,1656720,32,1048576
2858.2,17714,1593721,64,1048576
