mean,std,no_thread,sample_size
606.85,762.94,1,8388608
837.73,786.61,2,8388608
932.63,902.28,4,8388608
1030.6,653.26,8,8388608
1024.1,218.22,16,8388608
1025.6,398.08,32,8388608
1031.3,612.92,64,8388608
