mean,std,no_lost_events,no_thread,sample_size
2087,1263.3,0,1,8388608
2959,1152.7,0,2,8388608
3356.7,1689.3,0,4,8388608
3521.6,1591.1,-28492,8,8388608
3396.1,9444.7,2566236,16,8388608
2879.3,832.97,11317228,32,8388608
2702.7,16226,15436527,64,8388608
