mean,std,no_thread,sample_size
602.24,287.39,1,8388608
607.72,285.82,2,8388608
631.87,343.31,4,8388608
672.31,428.1,8,8388608
750.89,528.74,16,8388608
873.45,639.15,32,8388608
1043,979.23,64,8388608
