mean,std,no_lost_events,no_thread,sample_size
1455,689.19,-2046,1,8388608
1587.4,827.12,-2044,2,8388608
1647.7,895.93,-2040,4,8388608
1836,1050,-2032,8,8388608
2492.2,1389.9,-2016,16,8388608
3374.2,5337,-1984,32,8388608
4589.4,59094,-390,64,8388608
