mean,std,no_lost_events,no_thread,sample_size,probe_content
994.22,303.35,NA,1,8388608,empty probes
2451.7,703.67,NA,2,8388608,empty probes
7241.7,1682.4,NA,4,8388608,empty probes
24035,4773.8,NA,8,8388608,empty probes
83661,14060,NA,16,8388608,empty probes
2.0508e+05,92144,NA,32,8388608,empty probes
4.4235e+05,1.6848e+05,NA,64,8388608,empty probes
1457.2,425.52,-2046,1,8388608,print entry and exit to file
3492,967.13,-1977,2,8388608,print entry and exit to file
6757.7,1872.1,-1990,4,8388608,print entry and exit to file
22047,5716.2,-1916,8,8388608,print entry and exit to file
74725,18051,-1982,16,8388608,print entry and exit to file
1.9291e+05,88963,-1926,32,8388608,print entry and exit to file
4.4154e+05,1.7645e+05,-1834,64,8388608,print entry and exit to file
2617.1,533.16,271977,1,8388608,print entry and exit to file with gettimeofday_us() timestamp
4547.4,992.86,-2045,2,8388608,print entry and exit to file with gettimeofday_us() timestamp
6725.3,1787.7,-1665,4,8388608,print entry and exit to file with gettimeofday_us() timestamp
21820,6136.6,-1925,8,8388608,print entry and exit to file with gettimeofday_us() timestamp
70955,22059,-1919,16,8388608,print entry and exit to file with gettimeofday_us() timestamp
1.9596e+05,92366,-1933,32,8388608,print entry and exit to file with gettimeofday_us() timestamp
4.1845e+05,1.7898e+05,-1802,64,8388608,print entry and exit to file with gettimeofday_us() timestamp
