mean,std,num_subbuf,subbuf_size,no_thread,sample_size
1536.2,277.3,4,256,1,8388608
1551.2,399.95,4,256,2,8388608
1592.7,490.4,4,256,4,8388608
1712.7,680.16,4,256,8,8388608
1965.3,1820.7,4,256,16,8388608
2271.1,3036.7,4,256,32,8388608
2844.5,14729,4,256,64,8388608
