mean,std,no_thread,sample_size
601.29,513.67,1,1048576
610.46,310.1,2,1048576
636.65,353.91,4,1048576
688.01,415.04,8,1048576
753.41,539.86,16,1048576
870.77,673.3,32,1048576
1038.4,972.76,64,1048576
