mean,std,no_lost_events,no_thread,sample_size
1505,699.98,-254,1,1048576
1558.2,794.75,-252,2,1048576
1636,913.05,-248,4,1048576
1851.4,1034.6,-240,8,1048576
2500.4,1540.7,-224,16,1048576
3473.1,5384.5,-192,32,1048576
4575.2,51505,-128,64,1048576
