mean,std,num_subbuf,subbuf_size,no_thread,sample_size
1542,307.51,4,256,1,1048576
1582.8,414.69,4,256,2,1048576
1639.4,547.04,4,256,4,1048576
1765.7,703.1,4,256,8,1048576
1979.6,18674,4,256,16,1048576
2253,5977,4,256,32,1048576
2851.2,26335,4,256,64,1048576
