mean,std,no_lost_events,no_thread,sample_size
2025.6,571.86,0,1,8388608
2010.1,630.32,0,2,8388608
2050.8,727.3,0,4,8388608
2175,836.73,17419,8,8388608
2315.9,991.43,3961208,16,8388608
2594.6,1638.1,7165267,32,8388608
3022.8,13860,9606042,64,8388608
