mean,std,no_thread,sample_size
613.78,745.38,1,8648640
621.18,693.18,2,8648640
770.26,792.86,4,8648640
739.71,136.67,8,8648640
737.1,164.15,12,8648640
743.33,154.85,16,8648640
739.03,190.5,20,8648640
742.68,197.54,24,8648640
744.77,265.62,28,8648640
740.02,260.97,32,8648640
804.18,331.27,36,8648640
855.65,383.48,40,8648640
899.01,442.74,44,8648640
933.84,480.05,48,8648640
964.55,499.31,52,8648640
990.36,528.74,56,8648640
1013.6,628.06,60,8648640
1032.5,593.73,64,8648640
