mean,std,no_lost_events,no_thread,sample_size
1434.9,864.72,0,1,2882880
2133.9,999.9,0,2,2882880
2441.1,1293.8,0,4,2882880
2595.9,1272.7,0,8,2882880
2633.8,938.46,0,12,2882880
2696.8,1035.3,0,16,2882880
2819.5,1593.6,0,20,2882880
3047.3,3218.8,0,24,2882880
3260.6,2665.1,0,28,2882880
3621.9,3067.1,0,32,2882880
3840.6,3723.6,0,36,2882880
3814.4,2763.8,0,40,2882880
4067.2,7876.6,0,44,2882880
4139.2,15297,0,48,2882880
4119.7,7785.3,31280,52,2882880
4319.4,22780,75990,56,2882880
4518.4,33077,160820,60,2882880
4694.9,45273,80240,64,2882880
