mean,m_sd,frac_lost_events,f_sd,trace_size,t_sd,output,overflow,num_subbuf,total_buf_size,no_thread,sample_size,delay,no_repetitions
16701.25,28.37,0.68,0.09,2172,1629,splice,discard,4,128,1,131072,6000,8
16618.88,6.31,0.85,0.00,804,14,splice,discard,4,128,2,131072,6000,8
16610.12,7.43,0.89,0.00,599,11,splice,discard,4,128,4,131072,6000,8
16757.62,10.47,0.44,0.00,3034,4,splice,discard,4,256,1,131072,6000,8
16657.12,7.26,0.71,0.01,1585,27,splice,discard,4,256,2,131072,6000,8
16633.75,10.91,0.81,0.00,1040,16,splice,discard,4,256,4,131072,6000,8
16860.12,6.15,0.06,0.00,5094,10,splice,discard,4,512,1,131072,6000,8
16727.50,7.48,0.43,0.00,3098,2,splice,discard,4,512,2,131072,6000,8
16671.25,2.31,0.67,0.00,1817,19,splice,discard,4,512,4,131072,6000,8
16685.88,13.53,0.71,0.00,1572,15,splice,discard,8,128,1,131072,6000,8
16623.88,6.42,0.84,0.00,873,3,splice,discard,8,128,2,131072,6000,8
16662.50,6.59,0.86,0.00,812,19,splice,discard,8,128,4,131072,6000,8
16765.88,6.81,0.44,0.01,3054,31,splice,discard,8,256,1,131072,6000,8
16658.38,7.29,0.71,0.00,1564,7,splice,discard,8,256,2,131072,6000,8
16666.62,6.19,0.78,0.01,1190,44,splice,discard,8,256,4,131072,6000,8
16872.25,4.77,0.01,0.00,5350,7,splice,discard,8,512,1,131072,6000,8
16732.00,8.57,0.43,0.00,3110,24,splice,discard,8,512,2,131072,6000,8
16703.25,4.95,0.64,0.00,1976,20,splice,discard,8,512,4,131072,6000,8
16691.38,3.16,0.70,0.00,1650,16,splice,discard,16,128,1,131072,6000,8
16645.38,3.50,0.82,0.00,1012,10,splice,discard,16,128,2,131072,6000,8
16761.12,16.52,0.44,0.00,3062,22,splice,discard,16,256,1,131072,6000,8
16674.25,8.80,0.69,0.00,1730,13,splice,discard,16,256,2,131072,6000,8
16790.88,16.14,0.70,0.02,1656,87,splice,discard,16,256,4,131072,6000,8
16876.50,12.01,0.00,0.00,5420,0,splice,discard,16,512,1,131072,6000,8
16742.50,10.95,0.40,0.00,3259,2,splice,discard,16,512,2,131072,6000,8
16781.88,7.40,0.59,0.00,2245,27,splice,discard,16,512,4,131072,6000,8
16697.12,4.26,0.69,0.00,1738,22,splice,discard,32,128,1,131072,6000,8
16769.25,10.48,0.42,0.00,3154,15,splice,discard,32,256,1,131072,6000,8
16704.50,16.07,0.61,0.02,2151,109,splice,discard,32,256,2,131072,6000,8
16879.50,10.31,0.00,0.00,5432,11,splice,discard,32,512,1,131072,6000,8
16769.50,9.23,0.34,0.02,3614,106,splice,discard,32,512,2,131072,6000,8
17018.88,37.87,0.39,0.04,3382,203,splice,discard,32,512,4,131072,6000,8
16785.38,25.66,0.40,0.01,3327,70,splice,discard,64,256,1,131072,6000,8
16883.62,13.75,0.00,0.00,5462,6,splice,discard,64,512,1,131072,6000,8
16821.38,26.05,0.21,0.01,4350,68,splice,discard,64,512,2,131072,6000,8
16898.00,26.99,0.00,0.00,5516,8,splice,discard,128,512,1,131072,6000,8
