mean,m_sd,no_lost_events,l_sd,no_events_expected,trace_size,t_sd,output,overflow,num_subbuf,total_buf_size,no_thread,sample_size,delay,no_repetitions
201268.75,115.44,0,0,262146,5464,0,splice,discard,16,128,1,131072,75989,8
2702.18,13.15,216109,3747,262146,978,77,splice,discard,16,256,1,131072,704,8
20871.25,11.18,86039,1258,262146,3660,26,splice,discard,16,256,1,131072,7548,8
201310.00,96.66,0,0,262146,5436,0,splice,discard,16,256,1,131072,75989,8
2735.76,8.11,186250,2231,262146,1591,46,splice,discard,16,512,1,131072,704,8
20958.38,11.44,0,0,262146,5420,0,splice,discard,16,512,1,131072,7548,8
201233.75,84.34,0,0,262146,5420,0,splice,discard,16,512,1,131072,75989,8
2793.86,10.20,128174,8226,262146,2780,170,splice,discard,16,1024,1,131072,704,8
20964.25,10.75,0,0,262146,5412,0,splice,discard,16,1024,1,131072,7548,8
201186.25,61.40,0,0,262146,5412,0,splice,discard,16,1024,1,131072,75989,8
2691.39,10.51,228046,4144,262146,742,87,splice,discard,32,128,1,131072,704,8
20792.75,7.74,169889,678,262146,1963,15,splice,discard,32,128,1,131072,7548,8
201315.00,87.83,0,0,262146,5520,0,splice,discard,32,128,1,131072,75989,8
2709.81,11.03,211717,3349,262146,1074,69,splice,discard,32,256,1,131072,704,8
20873.50,18.01,82386,1756,262146,3754,36,splice,discard,32,256,1,131072,7548,8
201365.00,82.11,0,0,262146,5464,0,splice,discard,32,256,1,131072,75989,8
2732.10,12.44,181914,3615,262146,1685,75,splice,discard,32,512,1,131072,704,8
20953.00,16.12,0,0,262146,5436,0,splice,discard,32,512,1,131072,7548,8
201330.00,57.57,0,0,262146,5436,0,splice,discard,32,512,1,131072,75989,8
2790.88,14.45,130225,8902,262146,2742,184,splice,discard,32,1024,1,131072,704,8
20962.88,9.22,0,0,262146,5420,0,splice,discard,32,1024,1,131072,7548,8
201258.75,82.36,0,0,262146,5420,0,splice,discard,32,1024,1,131072,75989,8
2725.10,7.24,203979,6792,262146,1247,143,splice,discard,64,256,1,131072,704,8
20895.00,23.12,76822,2424,262146,3910,50,splice,discard,64,256,1,131072,7548,8
201333.75,56.05,0,0,262146,5520,0,splice,discard,64,256,1,131072,75989,8
2737.88,9.56,178844,9249,262146,1756,193,splice,discard,64,512,1,131072,704,8
20967.62,20.98,0,0,262146,5464,0,splice,discard,64,512,1,131072,7548,8
201293.75,110.96,0,0,262146,5464,0,splice,discard,64,512,1,131072,75989,8
2804.00,14.92,117968,4937,262146,3002,101,splice,discard,64,1024,1,131072,704,8
20964.88,11.58,0,0,262146,5436,0,splice,discard,64,1024,1,131072,7548,8
201327.50,66.49,0,0,262146,5436,0,splice,discard,64,1024,1,131072,75989,8
2758.62,15.24,163578,9806,262146,2094,206,splice,discard,128,512,1,131072,704,8
20999.62,42.33,0,0,262146,5520,0,splice,discard,128,512,1,131072,7548,8
201301.25,61.28,0,0,262146,5520,0,splice,discard,128,512,1,131072,75989,8
2821.93,11.69,110270,6028,262146,3178,125,splice,discard,128,1024,1,131072,704,8
20960.50,24.89,0,0,262146,5464,0,splice,discard,128,1024,1,131072,7548,8
201371.25,75.11,0,0,262146,5464,0,splice,discard,128,1024,1,131072,75989,8
2830.03,35.18,103655,9500,262146,3349,200,splice,discard,256,1024,1,131072,704,8
20976.50,30.22,0,0,262146,5520,0,splice,discard,256,1024,1,131072,7548,8
201325.00,95.32,0,0,262146,5520,0,splice,discard,256,1024,1,131072,75989,8
2658.36,5.38,258298,454,262148,104,9,splice,discard,2,16,2,131072,704,8
20660.75,5.85,256040,5,262148,152,0,splice,discard,2,16,2,131072,7548,8
200702.50,64.31,210974,284,262148,1098,6,splice,discard,2,16,2,131072,75989,8
2657.28,6.70,255478,275,262148,162,6,splice,discard,2,32,2,131072,704,8
20672.00,7.19,249771,2,262148,280,0,splice,discard,2,32,2,131072,7548,8
200787.50,31.05,159145,388,262148,2157,8,splice,discard,2,32,2,131072,75989,8
2656.10,7.92,255937,4,262148,152,0,splice,discard,2,64,2,131072,704,8
20679.75,5.28,237287,4,262148,536,0,splice,discard,2,64,2,131072,7548,8
200838.75,53.30,57876,72,262148,4235,3,splice,discard,2,64,2,131072,75989,8
2663.68,5.57,249697,4,262148,280,0,splice,discard,2,128,2,131072,704,8
20703.50,7.01,212732,189,262148,1041,4,splice,discard,2,128,2,131072,7548,8
200883.75,56.05,6122,72,262148,5293,2,splice,discard,2,128,2,131072,75989,8
2679.80,7.30,237218,4,262148,536,0,splice,discard,2,256,2,131072,704,8
20751.25,4.33,168496,290,262148,1952,6,splice,discard,2,256,2,131072,7548,8
200837.50,42.68,0,0,262148,5408,0,splice,discard,2,256,2,131072,75989,8
2698.41,8.21,212250,4,262148,1048,0,splice,discard,2,512,2,131072,704,8
20816.75,6.80,92869,289,262148,3502,6,splice,discard,2,512,2,131072,7548,8
200832.50,23.75,0,0,262148,5408,0,splice,discard,2,512,2,131072,75989,8
2749.20,5.52,162320,4,262148,2072,0,splice,discard,2,1024,2,131072,704,8
20893.12,6.10,16435,282,262148,5069,6,splice,discard,2,1024,2,131072,7548,8
200767.50,69.85,0,0,262148,5408,0,splice,discard,2,1024,2,131072,75989,8
2658.71,5.11,255574,468,262148,162,10,splice,discard,4,32,2,131072,704,8
20661.75,5.09,249469,203,262148,290,4,splice,discard,4,32,2,131072,7548,8
200756.25,48.09,159767,331,262148,2171,7,splice,discard,4,32,2,131072,75989,8
2676.05,8.55,242210,4991,262148,437,103,splice,discard,4,64,2,131072,704,8
20674.62,6.28,237416,5,262148,536,0,splice,discard,4,64,2,131072,7548,8
200846.25,49.84,57797,471,262148,4258,9,splice,discard,4,64,2,131072,75989,8
2668.80,7.65,245944,874,262148,358,18,splice,discard,4,128,2,131072,704,8
20710.75,5.23,211344,447,262148,1074,9,splice,discard,4,128,2,131072,7548,8
200893.75,52.08,0,0,262148,5432,0,splice,discard,4,128,2,131072,75989,8
2678.07,9.74,234137,4,262148,600,0,splice,discard,4,256,2,131072,704,8
20744.62,7.89,168742,104,262148,1949,3,splice,discard,4,256,2,131072,7548,8
