mean,std,no_lost_events,no_thread,sample_size
1395.1,1491.3,0,1,8388608
2169.8,1097.3,0,2,8388608
2487.9,1475.4,0,4,8388608
2554.2,1485.4,0,8,8388608
2660.8,9281.2,0,16,8388608
3567.4,1759.5,0,32,8388608
4214,40379,6352390,64,8388608
