mean,std,no_lost_events,no_thread,sample_size
1963.2,1498,589285,1,8388608
3009.4,1304,0,2,8388608
3091.1,1404.9,0,4,8388608
3573.1,1533.2,-38116,8,8388608
3465.8,1535.5,1804443,16,8388608
2937.5,852.05,10197070,32,8388608
2703.7,16264,15390973,64,8388608
