mean,std,num_subbuf,subbuf_size,no_thread,sample_size
1550.9,1016.6,4,256,1,8388608
2270.3,1064.8,4,256,2,8388608
2458.5,881.86,4,256,4,8388608
2870.4,1765.5,4,256,8,8388608
2838.9,1298.8,4,256,16,8388608
2799.6,24516,4,256,32,8388608
2814.3,48599,4,256,64,8388608
