mean,std,num_subbuf,subbuf_size,no_thread,sample_size
1505.9,492.67,4,256,1,1048576
2249.6,580.15,4,256,2,1048576
2597,677,4,256,4,1048576
2778.8,444.7,4,256,8,1048576
2770.6,638.92,4,256,16,1048576
2788.7,1020,4,256,32,1048576
2835.5,38164,4,256,64,1048576
